360731726399541250,"I'm at Zeytinburnu Tramvay Durağı (İstanbul, Türkiye) http://t.co/2S5K5zMK2I",7,32,"LOCATION
"
360731726399541250,"I'm at Zeytinburnu Tramvay Durağı (İstanbul, Türkiye) http://t.co/2S5K5zMK2I",35,42,"LOCATION
"
360731726399541250,"I'm at Zeytinburnu Tramvay Durağı (İstanbul, Türkiye) http://t.co/2S5K5zMK2I",45,51,"LOCATION
"
360731724025585664,I'm at Marmaris Dental Office Asli- Şevket Cankurt http://t.co/o5UlOLrVv9,7,28,"LOCATION
"
360731724025585664,I'm at Marmaris Dental Office Asli- Şevket Cankurt http://t.co/o5UlOLrVv9,30,33,"PERSON
"
360731724025585664,I'm at Marmaris Dental Office Asli- Şevket Cankurt http://t.co/o5UlOLrVv9,36,49,"PERSON
"
360731722641457153,"Sıla seni takmıyorum ,gör",0,3,"PERSON
"
360731722553376769,"1071 de Anadolunun kapıları sonuna kadar açılmış ama son giren kapıyı örtmemiş olacak ki ne kadar mal,gerizekalı varsa içeriye doluşmuş",0,3,"DATE
"
360731722553376769,"1071 de Anadolunun kapıları sonuna kadar açılmış ama son giren kapıyı örtmemiş olacak ki ne kadar mal,gerizekalı varsa içeriye doluşmuş",8,14,"LOCATION
"
360731721706110976,hiç dayanmana gerek yok zaten aklına geleni yaz twitter bunun için değilmi :D,48,54,"ORGANIZATION
"
360731721525760003,bize face yeterdi ama devir deştibeyler,5,8,"ORGANIZATION
"
360731720712060928,“Yarın bizi Beraber Görenler kimdi o Yanındaki diye Sorarlarsa beni Detaylı Anlatma. Kısaca; Ömrümün geri Kalanı Dersin...”,1,5,"DATE
"
360731720661741568,Bahcelıevler deneme anadolu lısesındeyımm,0,33,"LOCATION
"
360731979211227136,#yarıngeçolmadan tepkisiz kalmayalım. ..,1,5,"DATE
"
360731978422685698,Müge Kradağ mangal yapcaz o kadar :D,0,3,"PERSON
"
360732231318249472,o zaman. AKDENİZ üniversitesi akaaarrr :D,9,28,"ORGANIZATION
"
360732230340980736,halil fanayı 30 kere izlemeye kararlı :),0,4,"PERSON
"
360732230340980736,halil fanayı 30 kere izlemeye kararlı :),6,9,"MISC
"
360732229678280706,"#YenisezonformanTurkTelekomdan pierre webo attı,,,,,,,,,",16,26,"ORGANIZATION
"
360732480334082049,"Terrace Lido projesinde 1 oda 1 salon daireler 370 bin dolardan, 2 oda 1 salon daireler ise 420 bin dolardan başlayan fiyatlarla satılmış.",47,59,"MONEY
"
360732480334082049,"Terrace Lido projesinde 1 oda 1 salon daireler 370 bin dolardan, 2 oda 1 salon daireler ise 420 bin dolardan başlayan fiyatlarla satılmış.",92,104,"MONEY
"
360732733024124929,Acizliğin tanımı = Tomorrowland radyo yayınıyla kopmak,19,36,"ORGANIZATION
"
360732732562743296,Orman İl Müdürü halkın duyarlı olmasını istedi http://t.co/UDvtLNT7Wm,0,4,"ORGANIZATION
"
360732732525002752,KEREM ALTAN SAHALARA DÖNDÜ; BAŞBAKAN BEDELİNİ ÖDEYECEK! http://t.co/aNgEzHET7F,0,10,"PERSON
"
360732732470468609,Herkese hayırlı cumalar,16,19,"DATE
"
360732985743511552,yetişkin bir nur saatler 15.03 e geldiğinde uyanır.ama arkadaşları onu hava aydınlanmadan uyandırdığı için nesli tükeniyor.sizede naaaydın.,13,15,"PERSON
"
360732985743511552,yetişkin bir nur saatler 15.03 e geldiğinde uyanır.ama arkadaşları onu hava aydınlanmadan uyandırdığı için nesli tükeniyor.sizede naaaydın.,25,29,"TIME
"
360732985160511488,Twitter  seni bi türlü çözemedim kb :),0,6,"ORGANIZATION
"
360733236336410624,#YenisezonformanTurkTelekomdan gölü pierre webo atmisti penaltidan hemide,16,26,"ORGANIZATION
"
360733236336410624,#YenisezonformanTurkTelekomdan gölü pierre webo atmisti penaltidan hemide,36,46,"PERSON
"
360733235937939456,"Bir gün Sezen Aksu dinlerken öleceğimi düşünüyorum, bunu düşünürken hangi şarkıda öleceğim onu da düşünüyorum; sonrası delilik.",8,17,"PERSON
"
360733235875033088,ÇUBUKLUyaAŞIKGRİyeSevdalı                      SIYAHaMahkumuzBEŞİKTAŞ..!,0,4,"LOCATION
"
360733235875033088,ÇUBUKLUyaAŞIKGRİyeSevdalı                      SIYAHaMahkumuzBEŞİKTAŞ..!,61,68,"ORGANIZATION
"
360733235740807170,Birbirlerini katlederken tekbir getiren müslümanları gören kafirlere de gün doğuyor!  DiyanetinHutbesi ÜmmeteHakarettir,86,92,"ORGANIZATION
"
360733235619184641,sen buna şarkı demişsin ama bu bildiğin uyuşturucu #HaberinYokÖlüyorum,52,69,"MISC
"
360733234910334978,hayırlı cumalar Allah herkezin gönlüne göre versin,8,11,"DATE
"
360733233958244352,"I'm at Bezmialem Vakıf Üniversitesi Hastanesi (İstanbul, Türkiye) w/ 12 others http://t.co/omUg2IFRT1",7,44,"LOCATION
"
360733233958244352,"I'm at Bezmialem Vakıf Üniversitesi Hastanesi (İstanbul, Türkiye) w/ 12 others http://t.co/omUg2IFRT1",47,54,"LOCATION
"
360733233958244352,"I'm at Bezmialem Vakıf Üniversitesi Hastanesi (İstanbul, Türkiye) w/ 12 others http://t.co/omUg2IFRT1",57,63,"LOCATION
"
360733233807245312,"Twitterda olmasa,telefonlar çalmasa,arkadaslarım aramasa yaz tatili nasıl geçer kim bilir ?",0,6,"ORGANIZATION
"
360733233668825090,#dirensuriye iman dolu göğsüm gibi serhaddin var,6,11,"LOCATION
"
360733232871907328,emre lerde sigara keyfiiiiiiiiiii,0,3,"PERSON
"
360733232301477892,Bu yaz da Doktorlar'ı izleyip bitirirsem kesin cerrah oluyorum. Kimse tutamaz artık beni.,0,5,"DATE
"
360733232301477892,Bu yaz da Doktorlar'ı izleyip bitirirsem kesin cerrah oluyorum. Kimse tutamaz artık beni.,10,18,"MISC
"
360733232037244928,"Unilever, Unipro'yu satıyor http://t.co/HJ5k9AhtYC",0,7,"ORGANIZATION
"
